id,regulation_version,name,ap,anti_kinetic_defense,anti_energy_defense,anti_explosive_defense,attitude_stability,booster_efficiency_adj,generator_output_adj,generator_supply_adj,weight,en_load
1,1.01,AC-J-120 BASHO,3580,435,398,460,476,119,83,94,16100,300
2,1.01,AC-J-120/RC JAILBREAK,2400,405,368,420,403,119,83,94,12350,300
3,1.01,BD-011 MELANDER,3230,438,380,429,458,98,105,97,15800,304
4,1.01,BD-012 MELANDER C3,2830,425,377,428,433,103,102,103,14050,322
5,1.01,DF-BD-08 TIAN-QIANG,4100,473,438,478,629,76,114,90,20650,388
6,1.01,VP-40S,3160,427,436,389,446,102,106,102,15030,337
7,1.01,NACHTREIHER/40E,2630,349,359,331,349,126,84,109,9820,330
8,1.01,VE-40A,4320,447,495,458,521,81,122,95,21100,432
9,1.01,CC-2000 ORBITER,2780,393,366,374,407,100,103,93,12650,267
10,1.01,CC-3000 WRECKER,3940,468,434,461,532,80,96,100,19000,310
11,1.01,CS-5000 MAIN DISH,3890,476,489,469,641,79,97,112,23600,413
12,1.01,EL-TC-10 FIRMEZA,2500,384,360,375,410,111,104,89,10890,351
13,1.01,EL-PC-00 ALBA,2850,370,370,370,368,115,101,105,12000,315
14,1.01,07-061 MIND ALPHA,3520,440,455,445,455,95,112,104,16510,364
15,1.01,IA-C01C: EPHEMERA,3110,335,452,430,363,101,126,96,13200,412
16,1.01,IB-C03C: HAL 826,3670,451,469,463,385,96,120,108,18520,366